model_id,endpoint_tag,provider_name,snapshot,quantization,zdr,structured_outputs,response_format,reasoning,temperature,top_p,seed,prompt_usd_per_m,completion_usd_per_m,max_completion_tokens
anthropic/claude-opus-5.5,amazon-bedrock,Amazon Bedrock,anthropic/claude-opus-5.5-20260921,unknown,1,0,1,1,0,0,0,4.0,20.0,128000
anthropic/claude-opus-5.5,azure/global,Azure,anthropic/claude-opus-5.5-20260921,unknown,0,1,1,1,1,0,0,4.0,20.0,128000
anthropic/claude-opus-5.5,google-vertex/global,Google,anthropic/claude-opus-5.5-20260921,unknown,1,1,1,1,0,0,0,4.0,20.0,128000
anthropic/claude-opus-5.5,claude-on-aws,Claude Platform on AWS,anthropic/claude-opus-5.5-20260921,unknown,0,1,1,1,0,0,0,4.0,20.0,128000
anthropic/claude-opus-5.5,anthropic,Anthropic,anthropic/claude-opus-5.5-20260921,unknown,0,1,1,1,0,0,0,4.0,20.0,128000
anthropic/claude-opus-5.5,amazon-bedrock/eu-west-1,Amazon Bedrock,anthropic/claude-opus-5.5-20260921,unknown,1,0,1,1,0,0,0,4.4,22.0,128000
anthropic/claude-opus-5.5,amazon-bedrock/us-east-1,Amazon Bedrock,anthropic/claude-opus-5.5-20260921,unknown,1,0,1,1,0,0,0,4.4,22.0,128000
anthropic/claude-opus-5.5,azure/us,Azure,anthropic/claude-opus-5.5-20260921,unknown,0,1,1,1,1,0,0,4.4,22.0,128000
anthropic/claude-opus-5.5,google-vertex/us,Google,anthropic/claude-opus-5.5-20260921,unknown,1,1,1,1,0,0,0,4.4,22.0,128000
anthropic/claude-opus-5.5,google-vertex/europe,Google,anthropic/claude-opus-5.5-20260921,unknown,1,1,1,1,0,0,0,4.4,22.0,128000
anthropic/claude-opus-5.5,anthropic/fast,Anthropic,anthropic/claude-opus-5.5-20260921,unknown,0,1,1,1,0,0,0,8.0,40.0,128000
anthropic/claude-opus-5,claude-on-aws,Claude Platform on AWS,anthropic/claude-opus-5-20260723,unknown,0,1,1,1,0,0,0,5.0,25.0,128000
anthropic/claude-opus-5,google-vertex/global,Google,anthropic/claude-opus-5-20260723,unknown,1,1,1,1,0,0,0,5.0,25.0,128000
anthropic/claude-opus-5,amazon-bedrock,Amazon Bedrock,anthropic/claude-opus-5-20260723,unknown,1,0,1,1,0,0,0,5.0,25.0,128000
anthropic/claude-opus-5,azure/global,Azure,anthropic/claude-opus-5-20260723,unknown,0,1,1,1,1,0,0,5.0,25.0,128000
anthropic/claude-opus-5,anthropic,Anthropic,anthropic/claude-opus-5-20260723,unknown,0,1,1,1,0,0,0,5.0,25.0,128000
anthropic/claude-opus-5,amazon-bedrock/eu-west-1,Amazon Bedrock,anthropic/claude-opus-5-20260723,unknown,1,0,1,1,0,0,0,5.5,27.5,128000
anthropic/claude-opus-5,azure/us,Azure,anthropic/claude-opus-5-20260723,unknown,0,1,1,1,1,0,0,5.5,27.5,128000
anthropic/claude-opus-5,google-vertex/us,Google,anthropic/claude-opus-5-20260723,unknown,1,1,1,1,0,0,0,5.5,27.5,128000
anthropic/claude-opus-5,google-vertex/europe,Google,anthropic/claude-opus-5-20260723,unknown,1,1,1,1,0,0,0,5.5,27.5,128000
anthropic/claude-opus-5,amazon-bedrock/us-east-1,Amazon Bedrock,anthropic/claude-opus-5-20260723,unknown,1,0,1,1,0,0,0,5.5,27.5,128000
