id,name,created,context_length,max_completion_tokens,prompt_usd_per_m,completion_usd_per_m,cache_read_usd_per_m,input_modalities,structured_outputs,response_format,tools,reasoning,aa_intelligence_index,aa_coding_index,aa_agentic_index,knowledge_cutoff,expiration_date
aion-labs/aion-2.0,AionLabs: Aion-2.0,2026-02-23,131072,32768,0.8000,1.6000,0.2000,text,0,1,1,1,,,,,
aion-labs/aion-3.0,AionLabs: Aion-3.0,2026-07-07,131072,32768,3.0000,6.0000,0.7500,text,0,1,1,1,,,,,
aion-labs/aion-3.0-mini,AionLabs: Aion-3.0-Mini,2026-07-07,131072,32768,0.7000,1.4000,0.1800,text,0,1,1,1,,,,,
aion-labs/aion-rp-llama-3.1-8b,AionLabs: Aion-RP 1.0 (8B),2025-02-04,32768,29491,0.8000,1.6000,,text,0,0,0,0,,,,2023-12-31,
amazon/nova-2-lite-v1,Amazon: Nova 2 Lite,2025-12-02,1000000,65535,0.3000,2.5000,,text|image|video|file,0,0,1,1,,23,,,
amazon/nova-lite-v1,Amazon: Nova Lite 1.0,2024-12-06,300000,5120,0.0600,0.2400,,text|image,0,0,1,0,,,,2024-10-31,
amazon/nova-micro-v1,Amazon: Nova Micro 1.0,2024-12-06,128000,5120,0.0350,0.1400,,text,0,0,1,0,,,,2024-10-31,
amazon/nova-premier-v1,Amazon: Nova Premier 1.0,2025-11-01,1000000,32000,2.5000,12.5000,0.6250,text|image,0,0,1,0,,,,,
amazon/nova-pro-v1,Amazon: Nova Pro 1.0,2024-12-06,300000,5120,0.8000,3.2000,,text|image,0,0,1,0,,,,2024-10-31,
anthracite-org/magnum-v4-72b,Magnum v4 72B,2024-10-22,32768,4096,2.5000,5.0000,,text,1,1,0,0,,,,2024-06-30,
anthropic/claude-3-haiku,Anthropic: Claude 3 Haiku,2024-03-13,200000,4096,0.2500,1.2500,0.0300,text|image,0,0,1,0,,,,2023-08-31,
anthropic/claude-fable-5,Anthropic: Claude Fable 5,2026-06-09,1000000,128000,10.0000,50.0000,1.0000,text|image|file,1,1,1,1,49.6,76.5,50.7,,
anthropic/claude-fable-5.1,Anthropic: Claude Fable 5.1,2026-09-01,1000000,128000,10.0000,50.0000,0.2500,text|image|file,1,1,1,1,53.4,81.6,57.9,,
anthropic/claude-fable-5.1:batch,Anthropic: Claude Fable 5.1 (batch),2026-09-01,1000000,128000,5.0000,25.0000,0.1250,text|image|file,1,1,1,1,53.4,81.6,57.9,,
anthropic/claude-fable-5:batch,Anthropic: Claude Fable 5 (batch),2026-06-09,1000000,128000,5.0000,25.0000,0.5000,text|image|file,1,1,1,1,49.6,76.5,50.7,,
anthropic/claude-haiku-4.5,Anthropic: Claude Haiku 4.5,2025-10-15,200000,64000,1.0000,5.0000,0.1000,text|image|file,1,1,1,1,16.9,43.9,8,,
anthropic/claude-haiku-4.5:batch,Anthropic: Claude Haiku 4.5 (batch),2025-10-15,200000,64000,0.5000,2.5000,0.0500,text|image|file,1,1,1,1,16.9,43.9,8,,
anthropic/claude-opus-4.1,Anthropic: Claude Opus 4.1,2025-08-05,200000,32000,15.0000,75.0000,1.5000,image|text|file,0,0,1,1,,,,2025-01-31,
anthropic/claude-opus-4.1:batch,Anthropic: Claude Opus 4.1 (batch),2025-08-05,200000,32000,7.5000,37.5000,0.7500,image|text|file,1,1,1,1,,,,2025-01-31,
anthropic/claude-opus-4.5,Anthropic: Claude Opus 4.5,2025-11-24,200000,64000,5.0000,25.0000,0.5000,file|image|text,1,1,1,1,,,,,
anthropic/claude-opus-4.5:batch,Anthropic: Claude Opus 4.5 (batch),2025-11-24,200000,64000,2.5000,12.5000,0.2500,file|image|text,1,1,1,1,,,,,
anthropic/claude-opus-4.6,Anthropic: Claude Opus 4.6,2026-02-04,1000000,128000,5.0000,25.0000,0.5000,text|image|file,1,1,1,1,,,,,
anthropic/claude-opus-4.6:batch,Anthropic: Claude Opus 4.6 (batch),2026-02-04,1000000,128000,2.5000,12.5000,0.2500,text|image|file,1,1,1,1,,,,,
anthropic/claude-opus-4.7,Anthropic: Claude Opus 4.7,2026-04-16,1000000,128000,5.0000,25.0000,0.5000,text|image|file,1,1,1,1,,73.6,38.6,,
anthropic/claude-opus-4.7:batch,Anthropic: Claude Opus 4.7 (batch),2026-04-16,1000000,128000,2.5000,12.5000,0.2500,text|image|file,1,1,1,1,,73.6,38.6,,
anthropic/claude-opus-4.8,Anthropic: Claude Opus 4.8,2026-05-27,1000000,128000,5.0000,25.0000,0.5000,text|image|file,1,1,1,1,41.8,74.3,41.9,,
anthropic/claude-opus-4.8:batch,Anthropic: Claude Opus 4.8 (batch),2026-05-27,1000000,128000,2.5000,12.5000,0.2500,text|image|file,1,1,1,1,41.8,74.3,41.9,,
anthropic/claude-opus-5,Anthropic: Claude Opus 5,2026-07-24,1000000,128000,5.0000,25.0000,0.5000,text|image|file,1,1,1,1,50.8,78,56.5,,
anthropic/claude-opus-5.5,Anthropic: Claude Opus 5.5,2026-09-22,1000000,128000,4.0000,20.0000,0.2000,text|image|file,1,1,1,1,57.6,,,,
anthropic/claude-opus-5.5:batch,Anthropic: Claude Opus 5.5 (batch),2026-09-22,1000000,128000,2.0000,10.0000,0.1000,text|image|file,1,1,1,1,57.6,,,,
