invitation,decision_ada,route_code,escort,daily_eur,status,discount_pct,awarded_daily_eur
1,Ψ9Ξ37ΛΛ-ΤΓΟ,23-Ε-Τ3,,55.05,barren,,
1,Ψ9Ξ37ΛΛ-ΤΓΟ,23-Κ-Τ1,ΟΧΙ,71.05,barren,,
1,Ψ9Ξ37ΛΛ-ΤΓΟ,23-Κ-Τ2,ΟΧΙ,184.95,awarded,37,116.52
1,Ψ9Ξ37ΛΛ-ΤΓΟ,23-Κ-Τ3,ΟΧΙ,64.00,awarded,1,63.36
1,Ψ9Ξ37ΛΛ-ΤΓΟ,23-Μ-Τ1,ΟΧΙ,174.75,awarded,31,120.58
1,Ψ9Ξ37ΛΛ-ΤΓΟ,23-Μ-Τ2,ΟΧΙ,60.48,awarded,7,56.25
1,Ψ9Ξ37ΛΛ-ΤΓΟ,23-ΠΠ-Τ1,ΟΧΙ,84.13,awarded,23,64.78
1,Ψ9Ξ37ΛΛ-ΤΓΟ,23-ΠΠ-Τ11,ΟΧΙ,97.03,awarded,17,80.53
1,Ψ9Ξ37ΛΛ-ΤΓΟ,23-ΠΠ-Τ12,ΟΧΙ,38.63,awarded,1,38.24
1,Ψ9Ξ37ΛΛ-ΤΓΟ,23-ΠΠ-Τ13,ΟΧΙ,52.60,awarded,5,49.97
1,Ψ9Ξ37ΛΛ-ΤΓΟ,23-ΠΠ-Τ14,ΟΧΙ,77.80,awarded,10,70.02
1,Ψ9Ξ37ΛΛ-ΤΓΟ,23-ΠΠ-Τ15,ΟΧΙ,112.13,awarded,20,89.70
1,Ψ9Ξ37ΛΛ-ΤΓΟ,23-ΠΠ-Τ16,ΟΧΙ,104.70,awarded,11,93.19
1,Ψ9Ξ37ΛΛ-ΤΓΟ,23-ΠΠ-Τ2,ΟΧΙ,76.73,awarded,21,60.62
1,Ψ9Ξ37ΛΛ-ΤΓΟ,23-ΠΠ-Τ21,ΟΧΙ,71.13,barren,,
1,Ψ9Ξ37ΛΛ-ΤΓΟ,23-ΠΠ-Τ23,ΟΧΙ,75.13,awarded,5,71.38
1,Ψ9Ξ37ΛΛ-ΤΓΟ,23-ΠΠ-Τ3,ΟΧΙ,68.18,barren,,
1,Ψ9Ξ37ΛΛ-ΤΓΟ,23-ΠΠ-Τ32,ΟΧΙ,47.08,barren,,
1,Ψ9Ξ37ΛΛ-ΤΓΟ,23-ΠΠ-Τ33,ΟΧΙ,63.03,barren,,
1,Ψ9Ξ37ΛΛ-ΤΓΟ,23-ΠΠ-Τ34,ΟΧΙ,79.15,awarded,13,68.86
1,Ψ9Ξ37ΛΛ-ΤΓΟ,23-ΠΠ-Τ35,ΟΧΙ,28.23,barren,,
1,Ψ9Ξ37ΛΛ-ΤΓΟ,23-ΠΠ-Τ4,ΟΧΙ,140.20,awarded,31,96.74
1,Ψ9Ξ37ΛΛ-ΤΓΟ,23-ΠΠ-Τ41,ΝΑΙ,115.76,awarded,3,112.29
1,Ψ9Ξ37ΛΛ-ΤΓΟ,23-ΠΠ-Τ42,ΝΑΙ,87.86,barren,,
1,Ψ9Ξ37ΛΛ-ΤΓΟ,23-ΠΠ-Τ43,ΝΑΙ,109.38,barren,,
1,Ψ9Ξ37ΛΛ-ΤΓΟ,23-ΠΠ-Τ5,ΟΧΙ,109.13,awarded,36,69.84
1,Ψ9Ξ37ΛΛ-ΤΓΟ,23-ΠΠ-Τ51,ΝΑΙ,71.71,barren,,
1,Ψ9Ξ37ΛΛ-ΤΓΟ,23-ΠΠ-Τ52,ΝΑΙ,85.36,barren,,
1,Ψ9Ξ37ΛΛ-ΤΓΟ,23-ΠΠ-Τ53,ΝΑΙ,89.83,barren,,
1,Ψ9Ξ37ΛΛ-ΤΓΟ,23-ΠΠ-Τ54,ΝΑΙ,150.33,barren,,
1,Ψ9Ξ37ΛΛ-ΤΓΟ,23-ΠΠ-Τ6,ΟΧΙ,76.45,awarded,10,68.81
1,Ψ9Ξ37ΛΛ-ΤΓΟ,23-ΠΠ-Τ61,ΝΑΙ,78.63,awarded,7,73.13
1,Ψ9Ξ37ΛΛ-ΤΓΟ,23-ΠΠ-Τ71,ΝΑΙ,66.76,awarded,1,66.09
1,Ψ9Ξ37ΛΛ-ΤΓΟ,23-ΠΠ-Τ72,ΝΑΙ,71.23,barren,,
1,Ψ9Ξ37ΛΛ-ΤΓΟ,23-ΠΠ-Τ73,ΝΑΙ,72.58,barren,,
1,Ψ9Ξ37ΛΛ-ΤΓΟ,23-ΠΠ-Τ74,ΝΑΙ,76.53,barren,,
1,Ψ9Ξ37ΛΛ-ΤΓΟ,G23-0703-Τ100,ΝΑΙ,47.96,awarded,6,45.08
1,Ψ9Ξ37ΛΛ-ΤΓΟ,G23-0703-Τ2,ΝΑΙ,57.86,awarded,12,50.92
1,Ψ9Ξ37ΛΛ-ΤΓΟ,G23-0709-Τ1,ΝΑΙ,47.33,barren,,
1,Ψ9Ξ37ΛΛ-ΤΓΟ,G23-0709-Τ2,ΟΧΙ,28.88,barren,,
1,Ψ9Ξ37ΛΛ-ΤΓΟ,G23-0710-Τ52,ΝΑΙ,49.28,barren,,
1,Ψ9Ξ37ΛΛ-ΤΓΟ,G23-0712-Τ1,ΟΧΙ,25.83,awarded,2,25.31
1,Ψ9Ξ37ΛΛ-ΤΓΟ,G23-07124-Τ1,ΝΑΙ,56.28,barren,,
1,Ψ9Ξ37ΛΛ-ΤΓΟ,S23-0708-Τ1,ΝΑΙ,62.46,awarded,16,52.46
1,Ψ9Ξ37ΛΛ-ΤΓΟ,S23-0708-Τ2,ΝΑΙ,50.91,barren,,
1,Ψ9Ξ37ΛΛ-ΤΓΟ,S23-0710-Τ1,ΝΑΙ,87.58,awarded,23,67.44
1,Ψ9Ξ37ΛΛ-ΤΓΟ,S23-0710-Τ2,ΝΑΙ,148.13,barren,,
1,Ψ9Ξ37ΛΛ-ΤΓΟ,S23-0710-Τ3,ΝΑΙ,122.26,awarded,1,121.04
1,Ψ9Ξ37ΛΛ-ΤΓΟ,S23-0710-Τ4,ΝΑΙ,138.16,awarded,43,78.75
1,Ψ9Ξ37ΛΛ-ΤΓΟ,S23-0710-Τ5,ΝΑΙ,41.43,barren,,
1,Ψ9Ξ37ΛΛ-ΤΓΟ,S23-0710-Τ6,ΝΑΙ,45.01,awarded,6,42.31
1,Ψ9Ξ37ΛΛ-ΤΓΟ,S23-ΑΑ-0701-Τ2,,71.33,barren,,
1,Ψ9Ξ37ΛΛ-ΤΓΟ,S23-ΑΑ-0701-Τ4,ΝΑΙ,236.16,awarded,31,162.95
1,Ψ9Ξ37ΛΛ-ΤΓΟ,S23-ΑΑ-0701-Τ5,ΝΑΙ,65.56,awarded,16,55.07
1,Ψ9Ξ37ΛΛ-ΤΓΟ,S23-ΑΑ-0708-Τ2,ΟΧΙ,64.63,barren,,
1,Ψ9Ξ37ΛΛ-ΤΓΟ,S23-ΑΑ-0708-Τ3,ΝΑΙ,105.36,awarded,18,86.40
1,Ψ9Ξ37ΛΛ-ΤΓΟ,S23-ΑΑ-0711-Τ1,ΝΑΙ,143.28,awarded,18,117.49
1,Ψ9Ξ37ΛΛ-ΤΓΟ,S23-ΑΑ-0711-Τ6,ΝΑΙ,87.96,awarded,9,80.04
1,Ψ9Ξ37ΛΛ-ΤΓΟ,S23-ΑΑ-0712-Τ1,ΝΑΙ,103.28,awarded,22,80.56
1,Ψ9Ξ37ΛΛ-ΤΓΟ,S23-ΑΑ-0712-Τ2,ΝΑΙ,77.16,awarded,1,76.39
1,Ψ9Ξ37ΛΛ-ΤΓΟ,S23-ΑΑ-0713-Τ2,ΟΧΙ,69.65,awarded,3,67.56
1,Ψ9Ξ37ΛΛ-ΤΓΟ,S23-ΑΑ-0714-Τ2,ΝΑΙ,109.33,awarded,15,92.94
1,Ψ9Ξ37ΛΛ-ΤΓΟ,S23-ΑΑ-0714-Τ3,ΝΑΙ,67.41,barren,,
1,Ψ9Ξ37ΛΛ-ΤΓΟ,S23-ΑΑ-0714-Τ4,ΝΑΙ,76.83,awarded,6,72.22
1,Ψ9Ξ37ΛΛ-ΤΓΟ,S23-ΑΑ-0714-Τ5,ΝΑΙ,108.81,awarded,21,85.96
1,Ψ9Ξ37ΛΛ-ΤΓΟ,S23-ΒΑ-070101-Τ1,ΝΑΙ,88.88,awarded,11,79.11
1,Ψ9Ξ37ΛΛ-ΤΓΟ,S23-ΒΑ-0706-Τ1,ΝΑΙ,101.01,awarded,9,91.92
1,Ψ9Ξ37ΛΛ-ΤΓΟ,S23-ΒΑ-0712-Τ1,ΝΑΙ,183.63,awarded,46,99.16
1,Ψ9Ξ37ΛΛ-ΤΓΟ,S23-ΒΑ-Τ11,ΟΧΙ,108.50,awarded,26,80.29
1,Ψ9Ξ37ΛΛ-ΤΓΟ,S23-ΒΑ-Τ23,ΟΧΙ,84.05,awarded,16,70.60
1,Ψ9Ξ37ΛΛ-ΤΓΟ,S23-ΒΑ-Τ30,ΝΑΙ,91.46,barren,,
1,Ψ9Ξ37ΛΛ-ΤΓΟ,S23-ΒΑ-Τ31,ΝΑΙ,90.91,barren,,
1,Ψ9Ξ37ΛΛ-ΤΓΟ,S23-ΒΑ-Τ32,ΝΑΙ,71.88,barren,,
1,Ψ9Ξ37ΛΛ-ΤΓΟ,S23-ΒΑ-Τ33,ΝΑΙ,140.43,awarded,23,108.13
1,Ψ9Ξ37ΛΛ-ΤΓΟ,S23-ΒΑ-Τ34,ΟΧΙ,130.80,awarded,37,82.40
1,Ψ9Ξ37ΛΛ-ΤΓΟ,S23-ΒΑ-Τ35,ΟΧΙ,124.38,awarded,24,94.53
1,Ψ9Ξ37ΛΛ-ΤΓΟ,S23-ΒΑ-Τ36,ΟΧΙ,37.60,barren,,
1,Ψ9Ξ37ΛΛ-ΤΓΟ,S23-ΒΑ-Τ37,ΝΑΙ,60.33,barren,,
1,Ψ9Ξ37ΛΛ-ΤΓΟ,S23-ΒΑ-Τ38,ΟΧΙ,67.88,awarded,6,63.81
1,Ψ9Ξ37ΛΛ-ΤΓΟ,S23-ΒΑ-Τ40,ΝΑΙ,104.58,barren,,
1,Ψ9Ξ37ΛΛ-ΤΓΟ,S23-ΒΑ-Τ41,ΟΧΙ,52.35,awarded,6,49.21
1,Ψ9Ξ37ΛΛ-ΤΓΟ,S23-ΒΑ-Τ61,ΝΑΙ,106.46,barren,,
1,Ψ9Ξ37ΛΛ-ΤΓΟ,S23-ΒΑ-Τ62,ΝΑΙ,147.48,barren,,
1,Ψ9Ξ37ΛΛ-ΤΓΟ,S23-ΒΑ-Τ63,ΝΑΙ,186.51,awarded,46,100.72
1,Ψ9Ξ37ΛΛ-ΤΓΟ,S23-ΒΑ-Τ64,ΝΑΙ,153.33,awarded,32,104.26
