invitation,adam,aa,route_code,escort,daily_eur,days,budget_3y_eur,in_both_invitations
1,26PROC019072684,1,26-Κ-Τ1,ΟΧΙ,69.50,525,36487.50,0
1,26PROC019072684,2,26-Κ-Τ2,ΟΧΙ,115.78,525,60784.50,0
1,26PROC019072684,3,26-Κ-Τ3,ΟΧΙ,144.80,525,76020.00,0
1,26PROC019072684,4,26-Κ-Τ4,ΟΧΙ,124.58,525,65404.50,0
1,26PROC019072684,5,26-Κ-Τ5,ΟΧΙ,96.20,525,50505.00,0
1,26PROC019072684,6,26-Μ-Τ1,ΟΧΙ,158.78,525,83359.50,0
1,26PROC019072684,7,26-Μ-Τ6,ΟΧΙ,196.73,525,103283.25,0
1,26PROC019072684,8,26-Μ-Τ7,ΟΧΙ,90.18,525,47344.50,0
1,26PROC019072684,9,26-Μ-Τ40,ΟΧΙ,43.38,525,22774.50,0
1,26PROC019072684,10,G26-0703-Τ1,ΝΑΙ,64.00,525,33600.00,0
1,26PROC019072684,11,G26-0703-Τ2,ΝΑΙ,51.18,525,26869.50,1
1,26PROC019072684,12,G26-0711-Τ1,ΝΑΙ,56.00,525,29400.00,1
1,26PROC019072684,13,G26-0712-Τ1,ΝΑΙ,46.50,525,24412.50,0
1,26PROC019072684,14,G26-0713-Τ1,ΝΑΙ,50.05,525,26276.25,0
1,26PROC019072684,15,26-ΠΠ-Τ1,ΟΧΙ,91.08,525,47817.00,1
1,26PROC019072684,16,26-ΠΠ-Τ2,ΟΧΙ,106.60,525,55965.00,0
1,26PROC019072684,17,26-ΠΠ-Τ3,ΟΧΙ,58.63,525,30780.75,1
1,26PROC019072684,18,26-ΠΠ-Τ4,ΟΧΙ,66.30,525,34807.50,0
1,26PROC019072684,19,26-ΠΠ-Τ11,ΟΧΙ,95.23,525,49995.75,1
1,26PROC019072684,20,26-ΠΠ-Τ12,ΟΧΙ,50.00,525,26250.00,1
1,26PROC019072684,21,26-ΠΠ-Τ13,ΟΧΙ,67.53,525,35453.25,0
1,26PROC019072684,22,26-ΠΠ-Τ14,ΟΧΙ,85.88,525,45087.00,0
1,26PROC019072684,23,26-ΠΠ-Τ15,ΟΧΙ,112.13,525,58868.25,0
1,26PROC019072684,24,26-ΠΠ-Τ16,ΟΧΙ,105.08,525,55167.00,0
1,26PROC019072684,25,26-ΠΠ-Τ204,ΟΧΙ,114.15,525,59928.75,0
1,26PROC019072684,26,26-ΠΠ-Τ41,ΟΧΙ,84.08,525,44142.00,0
1,26PROC019072684,27,26-ΠΠ-Τ303,ΟΧΙ,97.73,525,51308.25,0
1,26PROC019072684,28,26-ΠΠ-Τ50,ΝΑΙ,83.73,525,43958.25,0
1,26PROC019072684,29,26-ΠΠ-Τ51,ΝΑΙ,127.38,525,66874.50,0
1,26PROC019072684,30,26-ΠΠ-Τ52,ΝΑΙ,33.50,525,17587.50,1
1,26PROC019072684,31,26-ΠΑ-ΜΑΚ-Τ1,ΟΧΙ,74.25,525,38981.25,1
1,26PROC019072684,32,26-ΠΑ-ΜΑΚ-Τ2,ΟΧΙ,69.20,525,36330.00,0
1,26PROC019072684,33,26-ΠΝΓ-Τ1,ΝΑΙ,87.58,525,45979.50,1
1,26PROC019072684,34,26-ΠΝΓ-Τ2,ΝΑΙ,57.48,525,30177.00,1
1,26PROC019072684,35,26-ΠΣΠΘ-Τ1,ΝΑΙ,100.80,525,52920.00,1
1,26PROC019072684,36,26-ΠΠ-Τ61,ΝΑΙ,89.93,525,47213.25,0
1,26PROC019072684,37,26-ΠΠ-Τ62,ΝΑΙ,94.43,525,49575.75,0
1,26PROC019072684,38,26-ΠΠ-Τ601,ΝΑΙ,57.05,525,29951.25,1
1,26PROC019072684,39,26-ΠΠ-Τ602,ΝΑΙ,40.98,525,21514.50,1
1,26PROC019072684,40,26-ΠΠ-Τ604,ΟΧΙ,57.05,525,29951.25,1
1,26PROC019072684,41,26-ΠΠ-Τ606,ΟΧΙ,40.98,525,21514.50,1
1,26PROC019072684,42,26-ΠΠ-Τ607,ΟΧΙ,84.75,525,44493.75,0
1,26PROC019072684,43,26-ΠΠ-Τ603,ΟΧΙ,84.75,525,44493.75,0
1,26PROC019072684,44,26-ΠΠ-Τ605,ΟΧΙ,66.25,525,34781.25,1
1,26PROC019072684,45,26-ΠΠ-Τ34,ΟΧΙ,81.40,525,42735.00,1
1,26PROC019072684,46,26-ΠΠ-Τ304,ΟΧΙ,81.95,525,43023.75,0
1,26PROC019072684,47,26-ΠΠ-Τ305,ΟΧΙ,51.20,525,26880.00,1
1,26PROC019072684,48,26-ΠΠ-Τ306,ΟΧΙ,31.48,525,16527.00,1
1,26PROC019072684,49,26-ΠΠ-Τ33,ΟΧΙ,72.35,525,37983.75,1
1,26PROC019072684,50,S26-ΒΑ-Τ61,ΝΑΙ,147.00,525,77175.00,0
1,26PROC019072684,51,S26-ΒΑ-Τ62,ΝΑΙ,192.65,525,101141.25,0
1,26PROC019072684,52,S26-ΒΑ-Τ63,ΝΑΙ,173.65,525,91166.25,0
1,26PROC019072684,53,S26-ΒΑ-Τ64,ΝΑΙ,169.85,525,89171.25,0
1,26PROC019072684,54,S26-ΒΑ-Τ65,ΝΑΙ,86.80,525,45570.00,0
1,26PROC019072684,55,S26-ΒΑ-Τ66,ΝΑΙ,101.65,525,53366.25,0
1,26PROC019072684,56,S26-ΒΑ-Τ67,ΝΑΙ,162.93,525,85538.25,0
1,26PROC019072684,57,S26-ΓΛΚΒ-Τ1,ΟΧΙ,75.93,525,39863.25,0
1,26PROC019072684,58,S26-ΓΛΚΒ-Τ2,ΟΧΙ,168.45,525,88436.25,0
1,26PROC019072684,59,S26-ΓΛΚΒ-Τ3,ΟΧΙ,86.43,525,45375.75,0
1,26PROC019072684,60,S26-ΓΛΚΒ-Τ4,ΟΧΙ,100.98,525,53014.50,0
1,26PROC019072684,61,S26-ΔΕΓ-Τ1,ΝΑΙ,95.58,525,50179.50,1
1,26PROC019072684,62,S26-0708-Τ1,ΝΑΙ,104.38,525,54799.50,0
1,26PROC019072684,63,S26-0708-Τ2,ΝΑΙ,59.15,525,31053.75,1
1,26PROC019072684,64,S26-ΚΟΡΔ-Τ1,ΝΑΙ,221.38,525,116224.50,0
